day,hours,price
01.01.2019,H1,59.90
01.01.2019,H2,52.71
01.01.2019,H3,36.49
01.01.2019,H4,31.24
01.01.2019,H5,25.98
01.01.2019,H6,26.69
01.01.2019,H7,27.99
01.01.2019,H8,28.49
01.01.2019,H9,33.98
01.01.2019,H10,41.24
01.01.2019,H11,41.00
01.01.2019,H12,45.16
01.01.2019,H13,44.07
01.01.2019,H14,41.16
01.01.2019,H15,42.83
01.01.2019,H16,54.91
01.01.2019,H17,72.02
01.01.2019,H18,73.80
01.01.2019,H19,72.02
01.01.2019,H20,70.63
01.01.2019,H21,68.38
01.01.2019,H22,53.12
01.01.2019,H23,36.86
01.01.2019,H24,23.95
02.01.2019,H1,23.99
02.01.2019,H2,17.16
02.01.2019,H3,15.39
02.01.2019,H4,7.92
02.01.2019,H5,8.91
02.01.2019,H6,22.04
02.01.2019,H7,33.40
02.01.2019,H8,49.10
02.01.2019,H9,54.10
02.01.2019,H10,56.92
02.01.2019,H11,56.87
02.01.2019,H12,60.07
02.01.2019,H13,59.07
02.01.2019,H14,55.85
02.01.2019,H15,61.08
02.01.2019,H16,65.46
02.01.2019,H17,72.69
02.01.2019,H18,75.04
02.01.2019,H19,74.83
02.01.2019,H20,73.06
02.01.2019,H21,72.69
02.01.2019,H22,72.69
02.01.2019,H23,70.00
02.01.2019,H24,59.48
03.01.2019,H1,52.16
03.01.2019,H2,45.06
03.01.2019,H3,42.11
03.01.2019,H4,42.05
03.01.2019,H5,43.17
03.01.2019,H6,49.04
03.01.2019,H7,66.25
03.01.2019,H8,115.78
03.01.2019,H9,83.95
03.01.2019,H10,85.03
03.01.2019,H11,81.93
03.01.2019,H12,95.02
03.01.2019,H13,95.04
03.01.2019,H14,83.89
03.01.2019,H15,83.37
03.01.2019,H16,83.35
03.01.2019,H17,116.64
03.01.2019,H18,96.49
03.01.2019,H19,83.93
03.01.2019,H20,75.98
03.01.2019,H21,72.00
03.01.2019,H22,67.08
03.01.2019,H23,60.03
03.01.2019,H24,51.08
04.01.2019,H1,50.31
04.01.2019,H2,49.43
04.01.2019,H3,47.37
04.01.2019,H4,46.06
04.01.2019,H5,45.32
04.01.2019,H6,47.46
04.01.2019,H7,64.04
04.01.2019,H8,69.95
04.01.2019,H9,66.96
04.01.2019,H10,69.16
04.01.2019,H11,68.64
04.01.2019,H12,70.49
04.01.2019,H13,70.26
04.01.2019,H14,70.54
04.01.2019,H15,74.09
04.01.2019,H16,84.83
04.01.2019,H17,117.93
04.01.2019,H18,128.65
04.01.2019,H19,122.22
04.01.2019,H20,119.86
04.01.2019,H21,121.79
04.01.2019,H22,104.81
04.01.2019,H23,111.28
04.01.2019,H24,85.18
05.01.2019,H1,64.23
05.01.2019,H2,51.05
05.01.2019,H3,44.95
05.01.2019,H4,39.05
05.01.2019,H5,39.05
05.01.2019,H6,47.50
05.01.2019,H7,57.34
05.01.2019,H8,53.07
05.01.2019,H9,66.07
05.01.2019,H10,69.82
05.01.2019,H11,71.96
05.01.2019,H12,70.52
05.01.2019,H13,68.26
05.01.2019,H14,64.25
05.01.2019,H15,62.09
05.01.2019,H16,65.08
05.01.2019,H17,68.16
05.01.2019,H18,74.80
05.01.2019,H19,74.80
05.01.2019,H20,72.66
05.01.2019,H21,65.15
05.01.2019,H22,58.46
05.01.2019,H23,54.67
05.01.2019,H24,46.31
06.01.2019,H1,50.81
06.01.2019,H2,47.95
06.01.2019,H3,46.07
06.01.2019,H4,42.86
06.01.2019,H5,43.01
06.01.2019,H6,46.31
06.01.2019,H7,47.40
06.01.2019,H8,48.25
